Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
2/3/2024,,Turlock_RWQCF,86000,,
2/4/2024,,Turlock_RWQCF,86000,,
2/5/2024,230973321.1,Turlock_RWQCF,86000,375376.1112,0.001625193
2/6/2024,,Turlock_RWQCF,86000,,
2/7/2024,441576251.8,Turlock_RWQCF,86000,42148.71593,9.545059489718033e-05
2/8/2024,,Turlock_RWQCF,86000,,
2/9/2024,137854886.4,Turlock_RWQCF,86000,46882.47692,0.000340086
2/10/2024,,Turlock_RWQCF,86000,,
2/11/2024,,Turlock_RWQCF,86000,,
2/12/2024,556321959.2,Turlock_RWQCF,86000,41023.99034,7.374145431953704e-05
2/13/2024,,Turlock_RWQCF,86000,,
2/14/2024,391110928.1,Turlock_RWQCF,86000,76528.33101,0.000195669
2/15/2024,,Turlock_RWQCF,86000,,
2/16/2024,380615924.1,Turlock_RWQCF,86000,140168.8554,0.000368268
2/17/2024,,Turlock_RWQCF,86000,,
2/18/2024,,Turlock_RWQCF,86000,,
2/19/2024,1503971742,Turlock_RWQCF,86000,135851.4022,9.032842733530956e-05
4/29/2022,1100000000,Winters_WTF,7285,13000,1.1818181818181819e-05
4/30/2022,,Winters_WTF,7285,,
5/1/2022,,Winters_WTF,7285,,
5/2/2022,,Winters_WTF,7285,,
5/3/2022,610000000,Winters_WTF,7285,26000,4.262295081967213e-05
5/4/2022,560000000,Winters_WTF,7285,76000,0.000135714
5/5/2022,170000000,Winters_WTF,7285,12000,7.058823529411764e-05
5/6/2022,390000000,Winters_WTF,7285,9500,2.435897435897436e-05
5/7/2022,,Winters_WTF,7285,,
5/8/2022,,Winters_WTF,7285,,
5/9/2022,480000000,Winters_WTF,7285,69000,0.00014375
5/10/2022,820000000,Winters_WTF,7285,97000,0.000118293
5/11/2022,1000000000,Winters_WTF,7285,120000,0.00012
5/12/2022,1200000000,Winters_WTF,7285,97000,8.083333333333334e-05
5/13/2022,450000000,Winters_WTF,7285,0,4.6177403773849713e-07
5/14/2022,,Winters_WTF,7285,,
5/15/2022,,Winters_WTF,7285,,
5/16/2022,330000000,Winters_WTF,7285,23000,6.96969696969697e-05
5/17/2022,1000000000,Winters_WTF,7285,38000,3.8e-05
5/18/2022,890000000,Winters_WTF,7285,5900,6.629213483146067e-06
5/19/2022,350000000,Winters_WTF,7285,24000,6.857142857142857e-05
5/20/2022,,Winters_WTF,7285,,
5/21/2022,,Winters_WTF,7285,,
5/22/2022,,Winters_WTF,7285,,
5/23/2022,950000000,Winters_WTF,7285,41000,4.3157894736842105e-05
5/24/2022,1900000000,Winters_WTF,7285,52000,2.736842105263158e-05
5/25/2022,1400000000,Winters_WTF,7285,47000,3.357142857142857e-05
5/26/2022,1300000000,Winters_WTF,7285,81000,6.23076923076923e-05
5/27/2022,1200000000,Winters_WTF,7285,48000,4e-05
5/28/2022,,Winters_WTF,7285,,
5/29/2022,,Winters_WTF,7285,,
5/30/2022,,Winters_WTF,7285,,
5/31/2022,1900000000,Winters_WTF,7285,30000,1.5789473684210526e-05
6/1/2022,1300000000,Winters_WTF,7285,33000,2.5384615384615386e-05
